freq(Hz)	1.00e+09	eps_r	2.56	mu_r	1	sigma	1.00e-02
theta(rad)	RCS(m^2)
0.000000000e+00	1.274832396e+02
3.173325913e-02	1.231648791e+02
6.346651825e-02	1.109345517e+02
9.519977738e-02	9.279618245e+01
1.269330365e-01	7.157045928e+01
1.586662956e-01	5.027031149e+01
1.903995548e-01	3.148375233e+01
2.221328139e-01	1.692019067e+01
2.538660730e-01	7.217344186e+00
2.855993321e-01	2.023443599e+00
3.173325913e-01	2.917094544e-01
3.490658504e-01	6.750191320e-01
3.807991095e-01	1.899972869e+00
4.125323687e-01	3.028052882e+00
4.442656278e-01	3.562244193e+00
4.759988869e-01	3.410418681e+00
5.077321460e-01	2.754816687e+00
5.394654052e-01	1.891179840e+00
5.711986643e-01	1.092370507e+00
6.029319234e-01	5.280249297e-01
6.346651825e-01	2.452243916e-01
6.663984417e-01	1.948948783e-01
6.981317008e-01	2.795254913e-01
7.298649599e-01	3.994822385e-01
7.615982191e-01	4.836870984e-01
7.933314782e-01	5.005966091e-01
8.250647373e-01	4.532136263e-01
8.567979964e-01	3.655092082e-01
8.885312556e-01	2.674781328e-01
9.202645147e-01	1.836902986e-01
9.519977738e-01	1.273524930e-01
9.837310329e-01	9.967529749e-02
1.015464292e+00	9.308246493e-02
1.047197551e+00	9.632381186e-02
1.078930810e+00	9.955961081e-02
1.110664069e+00	9.781543459e-02
1.142397329e+00	9.184658910e-02
1.174130588e+00	8.636799659e-02
1.205863847e+00	8.659653902e-02
1.237597106e+00	9.474991044e-02
1.269330365e+00	1.081893436e-01
1.301063624e+00	1.201682168e-01
1.332796883e+00	1.229170392e-01
1.364530142e+00	1.116200827e-01
1.396263402e+00	8.731400314e-02
1.427996661e+00	5.717101751e-02
1.459729920e+00	3.185034080e-02
1.491463179e+00	2.102790496e-02
1.523196438e+00	2.913468089e-02
1.554929697e+00	5.327759369e-02
1.586662956e+00	8.430385666e-02
1.618396215e+00	1.105037272e-01
1.650129475e+00	1.222551775e-01
1.681862734e+00	1.155691962e-01
1.713595993e+00	9.312396848e-02
1.745329252e+00	6.261342151e-02
1.777062511e+00	3.343231704e-02
1.808795770e+00	1.329828388e-02
1.840529029e+00	6.159528796e-03
1.872262289e+00	1.189265711e-02
1.903995548e+00	2.737738960e-02
1.935728807e+00	4.803598822e-02
1.967462066e+00	6.903868144e-02
1.999195325e+00	8.591724774e-02
2.030928584e+00	9.487891467e-02
2.062661843e+00	9.329523273e-02
2.094395102e+00	8.055496761e-02
2.126128362e+00	5.894524489e-02
2.157861621e+00	3.386395618e-02
2.189594880e+00	1.277943848e-02
2.221328139e+00	2.948416743e-03
2.253061398e+00	8.661408795e-03
2.284794657e+00	2.924308838e-02
2.316527916e+00	5.886684017e-02
2.348261175e+00	8.846847907e-02
2.379994435e+00	1.090419864e-01
2.411727694e+00	1.149033398e-01
2.443460953e+00	1.055041957e-01
2.475194212e+00	8.508154198e-02
2.506927471e+00	6.047213424e-02
2.538660730e+00	3.824987894e-02
2.570393989e+00	2.253613808e-02
2.602127248e+00	1.432484694e-02
2.633860508e+00	1.228080199e-02
2.665593767e+00	1.422501657e-02
2.697327026e+00	1.831886261e-02
2.729060285e+00	2.336204259e-02
2.760793544e+00	2.832857712e-02
2.792526803e+00	3.181042679e-02
2.824260062e+00	3.207188764e-02
2.855993321e+00	2.792605606e-02
2.887726581e+00	1.995586291e-02
2.919459840e+00	1.118282240e-02
2.951193099e+00	6.448925430e-03
2.982926358e+00	1.047562095e-02
3.014659617e+00	2.540676137e-02
3.046392876e+00	4.911573354e-02
3.078126135e+00	7.533204380e-02
3.109859394e+00	9.578436214e-02
3.141592654e+00	1.035062651e-01
