freq(Hz)	1.00e+09	eps_r	2.56	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	1.700205541e+02
3.173325913e-02	1.641990506e+02
6.346651825e-02	1.477061469e+02
9.519977738e-02	1.232366472e+02
1.269330365e-01	9.460781465e+01
1.586662956e-01	6.593777117e+01
1.903995548e-01	4.081524678e+01
2.221328139e-01	2.166298475e+01
2.538660730e-01	9.431031380e+00
2.855993321e-01	3.657250332e+00
3.173325913e-01	2.832597002e+00
3.490658504e-01	4.937387418e+00
3.807991095e-01	7.989617123e+00
4.125323687e-01	1.046870488e+01
4.442656278e-01	1.153449815e+01
4.759988869e-01	1.103016610e+01
5.077321460e-01	9.316684137e+00
5.394654052e-01	7.020774702e+00
5.711986643e-01	4.782616870e+00
6.029319234e-01	3.069456063e+00
6.346651825e-01	2.087699767e+00
6.663984417e-01	1.791718367e+00
6.981317008e-01	1.962059605e+00
7.298649599e-01	2.313815286e+00
7.615982191e-01	2.597198552e+00
7.933314782e-01	2.663359852e+00
8.250647373e-01	2.484057778e+00
8.567979964e-01	2.129192118e+00
8.885312556e-01	1.717704006e+00
9.202645147e-01	1.362715561e+00
9.519977738e-01	1.130351337e+00
9.837310329e-01	1.024418147e+00
1.015464292e+00	9.985287301e-01
1.047197551e+00	9.869235587e-01
1.078930810e+00	9.388272351e-01
1.110664069e+00	8.410597345e-01
1.142397329e+00	7.198190485e-01
1.174130588e+00	6.224362212e-01
1.205863847e+00	5.891422161e-01
1.237597106e+00	6.292887014e-01
1.269330365e+00	7.139627296e-01
1.301063624e+00	7.886850898e-01
1.332796883e+00	7.998475386e-01
1.364530142e+00	7.216444137e-01
1.396263402e+00	5.699375078e-01
1.427996661e+00	3.959603139e-01
1.459729920e+00	2.628009511e-01
1.491463179e+00	2.161519059e-01
1.523196438e+00	2.635650567e-01
1.554929697e+00	3.720504977e-01
1.586662956e+00	4.846218816e-01
1.618396215e+00	5.470892237e-01
1.650129475e+00	5.317580773e-01
1.681862734e+00	4.469294595e-01
1.713595993e+00	3.288030750e-01
1.745329252e+00	2.213626312e-01
1.777062511e+00	1.553606879e-01
1.808795770e+00	1.369298576e-01
1.840529029e+00	1.503156539e-01
1.872262289e+00	1.713197886e-01
1.903995548e+00	1.826513504e-01
1.935728807e+00	1.822848808e-01
1.967462066e+00	1.808220309e-01
1.999195325e+00	1.906737040e-01
2.030928584e+00	2.146143490e-01
2.062661843e+00	2.412733138e-01
2.094395102e+00	2.506085920e-01
2.126128362e+00	2.261652702e-01
2.157861621e+00	1.666831232e-01
2.189594880e+00	8.984816488e-02
2.221328139e+00	2.548124740e-02
2.253061398e+00	1.538630279e-03
2.284794657e+00	3.041389680e-02
2.316527916e+00	1.028442273e-01
2.348261175e+00	1.924463651e-01
2.379994435e+00	2.680999334e-01
2.411727694e+00	3.074092339e-01
2.443460953e+00	3.044686091e-01
2.475194212e+00	2.688791596e-01
2.506927471e+00	2.180044623e-01
2.538660730e+00	1.677757294e-01
2.570393989e+00	1.271715120e-01
2.602127248e+00	9.830215674e-02
2.633860508e+00	8.020234679e-02
2.665593767e+00	7.263029415e-02
2.697327026e+00	7.753926103e-02
2.729060285e+00	9.925797238e-02
2.760793544e+00	1.470231543e-01
2.792526803e+00	2.428404296e-01
2.824260062e+00	4.333120825e-01
2.855993321e+00	7.984062507e-01
2.887726581e+00	1.447104952e+00
2.919459840e+00	2.492653127e+00
2.951193099e+00	4.008924067e+00
2.982926358e+00	5.980673228e+00
3.014659617e+00	8.268329563e+00
3.046392876e+00	1.060732792e+01
3.078126135e+00	1.265137402e+01
3.109859394e+00	1.405201151e+01
3.141592654e+00	1.455070693e+01
