eps_r	2.56	mu_r	1	sigma	3.00e-02	radius	0.5
frequency(Hz)	RCS(m^2)
5.995849160e+06	4.903722639e-05
1.199169832e+07	7.879935140e-04
1.798754748e+07	4.014200594e-03
2.398339664e+07	1.277156713e-02
2.997924580e+07	3.132873586e-02
3.597509496e+07	6.493223957e-02
4.197094412e+07	1.190843683e-01
4.796679328e+07	1.980768804e-01
5.396264244e+07	3.027356763e-01
5.995849160e+07	4.279728996e-01
6.595434076e+07	5.616150373e-01
7.195018992e+07	6.861606876e-01
7.794603908e+07	7.836144908e-01
8.394188824e+07	8.410742484e-01
8.993773740e+07	8.539045656e-01
9.593358656e+07	8.252512886e-01
1.019294357e+08	7.631966931e-01
1.079252849e+08	6.776542182e-01
1.139211340e+08	5.782604687e-01
1.199169832e+08	4.734347101e-01
1.259128324e+08	3.702189345e-01
1.319086815e+08	2.744395551e-01
1.379045307e+08	1.908679884e-01
1.439003798e+08	1.232263203e-01
1.498962290e+08	7.402656632e-02
1.558920782e+08	4.433359731e-02
1.618879273e+08	3.359132011e-02
1.678837765e+08	3.963847289e-02
1.738796256e+08	5.897082036e-02
1.798754748e+08	8.721300467e-02
1.858713240e+08	1.196909761e-01
1.918671731e+08	1.519758754e-01
1.978630223e+08	1.803022020e-01
2.038588714e+08	2.018211364e-01
2.098547206e+08	2.147027695e-01
2.158505698e+08	2.181296076e-01
2.218464189e+08	2.122257004e-01
2.278422681e+08	1.979502192e-01
2.338381172e+08	1.769640276e-01
2.398339664e+08	1.514635164e-01
2.458298156e+08	1.239737204e-01
2.518256647e+08	9.710275849e-02
2.578215139e+08	7.327669553e-02
2.638173630e+08	5.448922549e-02
2.698132122e+08	4.210570536e-02
2.758090614e+08	3.675239887e-02
2.818049105e+08	3.830262608e-02
2.878007597e+08	4.595023235e-02
2.937966088e+08	5.834596495e-02
2.997924580e+08	7.376824904e-02
3.057883072e+08	9.030505767e-02
3.117841563e+08	1.060328408e-01
3.177800055e+08	1.191860851e-01
3.237758546e+08	1.283134592e-01
3.297717038e+08	1.324133962e-01
3.357675530e+08	1.310361523e-01
3.417634021e+08	1.243353120e-01
3.477592513e+08	1.130534949e-01
3.537551004e+08	9.843614870e-02
3.597509496e+08	8.208148578e-02
3.657467988e+08	6.574842688e-02
3.717426479e+08	5.115224649e-02
3.777384971e+08	3.977670949e-02
3.837343462e+08	3.272344828e-02
3.897301954e+08	3.060881371e-02
3.957260446e+08	3.351032727e-02
4.017218937e+08	4.096167911e-02
4.077177429e+08	5.199612704e-02
4.137135920e+08	6.523976962e-02
4.197094412e+08	7.905451041e-02
4.257052904e+08	9.172336726e-02
4.317011395e+08	1.016593598e-01
4.376969887e+08	1.076083108e-01
4.436928378e+08	1.088115622e-01
4.496886870e+08	1.051004735e-01
4.556845362e+08	9.690916767e-02
4.616803853e+08	8.520928931e-02
4.676762345e+08	7.138351781e-02
4.736720836e+08	5.705941865e-02
4.796679328e+08	4.392307492e-02
4.856637820e+08	3.352756301e-02
4.916596311e+08	2.710966206e-02
4.976554803e+08	2.543119171e-02
5.036513294e+08	2.866668633e-02
5.096471786e+08	3.636119816e-02
5.156430278e+08	4.747558667e-02
5.216388769e+08	6.052062964e-02
5.276347261e+08	7.376066384e-02
5.336305752e+08	8.545099185e-02
5.396264244e+08	9.406816793e-02
5.456222736e+08	9.849950082e-02
5.516181227e+08	9.817218162e-02
5.576139719e+08	9.311543364e-02
5.636098210e+08	8.395585839e-02
5.696056702e+08	7.184714581e-02
5.756015194e+08	5.833544527e-02
5.815973685e+08	4.516654866e-02
5.875932177e+08	3.405263640e-02
5.935890668e+08	2.643092749e-02
5.995849160e+08	2.325619744e-02
6.055807652e+08	2.486658408e-02
6.115766143e+08	3.094624706e-02
6.175724635e+08	4.058567543e-02
6.235683126e+08	5.242075225e-02
6.295641618e+08	6.482218806e-02
6.355600110e+08	7.610777646e-02
6.415558601e+08	8.475543105e-02
6.475517093e+08	8.959848896e-02
6.535475584e+08	8.998350548e-02
6.595434076e+08	8.586749291e-02
6.655392568e+08	7.783251913e-02
6.715351059e+08	6.700584482e-02
6.775309551e+08	5.489289233e-02
6.835268042e+08	4.315144200e-02
6.895226534e+08	3.334907590e-02
6.955185026e+08	2.674615233e-02
7.015143517e+08	2.413506095e-02
7.075102009e+08	2.575061730e-02
7.135060500e+08	3.125395933e-02
7.195018992e+08	3.978626949e-02
7.254977484e+08	5.008647229e-02
7.314935975e+08	6.066358911e-02
7.374894467e+08	7.000643899e-02
7.434852958e+08	7.680243640e-02
7.494811450e+08	8.012919254e-02
7.554769942e+08	7.958376231e-02
7.614728433e+08	7.532675671e-02
7.674686925e+08	6.803791826e-02
7.734645416e+08	5.879804644e-02
7.794603908e+08	4.892271813e-02
7.854562400e+08	3.977481918e-02
7.914520891e+08	3.257928755e-02
7.974479383e+08	2.825972808e-02
8.034437874e+08	2.731507762e-02
8.094396366e+08	2.975365827e-02
8.154354858e+08	3.509792703e-02
8.214313349e+08	4.246337250e-02
8.274271841e+08	5.070053631e-02
8.334230332e+08	5.857510366e-02
8.394188824e+08	6.495335388e-02
8.454147316e+08	6.896190771e-02
8.514105807e+08	7.009973766e-02
8.574064299e+08	6.829177955e-02
8.634022790e+08	6.388272007e-02
8.693981282e+08	5.757533982e-02
8.753939774e+08	5.032184984e-02
8.813898265e+08	4.318131563e-02
8.873856757e+08	3.716208607e-02
8.933815248e+08	3.307312934e-02
8.993773740e+08	3.140901240e-02
9.053732232e+08	3.228780565e-02
9.113690723e+08	3.545037199e-02
9.173649215e+08	4.031706767e-02
9.233607706e+08	4.608813898e-02
9.293566198e+08	5.186931618e-02
9.353524690e+08	5.680367907e-02
9.413483181e+08	6.019260687e-02
9.473441673e+08	6.159080415e-02
9.533400164e+08	6.086293046e-02
9.593358656e+08	5.819340002e-02
