eps_r	2.56	mu_r	1	sigma	0.00e+00	radius	0.5
frequency(Hz)	RCS(m^2)
5.995849160e+06	5.722576666e-06
1.199169832e+07	9.118743529e-05
1.798754748e+07	4.584529217e-04
2.398339664e+07	1.434697240e-03
2.997924580e+07	3.457294665e-03
3.597509496e+07	7.051674053e-03
4.197094412e+07	1.280039434e-02
4.796679328e+07	2.130111673e-02
5.396264244e+07	3.311045912e-02
5.995849160e+07	4.867048888e-02
6.595434076e+07	6.821553853e-02
7.195018992e+07	9.166009911e-02
7.794603908e+07	1.184748343e-01
8.394188824e+07	1.475678565e-01
8.993773740e+07	1.772013776e-01
9.593358656e+07	2.049860267e-01
1.019294357e+08	2.279998158e-01
1.079252849e+08	2.430684682e-01
1.139211340e+08	2.472159056e-01
1.199169832e+08	2.382561461e-01
1.259128324e+08	2.154685000e-01
1.319086815e+08	1.802892856e-01
1.379045307e+08	1.369449949e-01
1.439003798e+08	9.286795919e-02
1.498962290e+08	5.847237738e-02
1.558920782e+08	4.547773630e-02
1.618879273e+08	6.305377689e-02
1.678837765e+08	1.127493621e-01
1.738796256e+08	1.860015129e-01
1.798754748e+08	2.677325503e-01
1.858713240e+08	3.437973717e-01
1.918671731e+08	4.059603248e-01
1.978630223e+08	4.515861076e-01
2.038588714e+08	4.804044280e-01
2.098547206e+08	4.915650892e-01
2.158505698e+08	4.825612634e-01
2.218464189e+08	4.505513064e-01
2.278422681e+08	3.963359326e-01
2.338381172e+08	3.299213126e-01
2.398339664e+08	2.727038637e-01
2.458298156e+08	2.494796342e-01
2.518256647e+08	2.736117627e-01
2.578215139e+08	3.408201026e-01
2.638173630e+08	4.369502544e-01
2.698132122e+08	5.485687134e-01
2.758090614e+08	6.679641885e-01
2.818049105e+08	7.930765731e-01
2.878007597e+08	9.242644772e-01
2.937966088e+08	1.057560156e+00
2.997924580e+08	1.174223324e+00
3.057883072e+08	1.233972114e+00
3.117841563e+08	1.192864673e+00
3.177800055e+08	1.050835067e+00
3.237758546e+08	8.697273168e-01
3.297717038e+08	7.236142571e-01
3.357675530e+08	6.520815350e-01
3.417634021e+08	6.622781082e-01
3.477592513e+08	7.500589312e-01
3.537551004e+08	9.152150996e-01
3.597509496e+08	1.168960515e+00
3.657467988e+08	1.534153932e+00
3.717426479e+08	2.024632135e+00
3.777384971e+08	2.575990276e+00
3.837343462e+08	2.974037313e+00
3.897301954e+08	2.994280194e+00
3.957260446e+08	2.667788892e+00
4.017218937e+08	2.208585407e+00
4.077177429e+08	1.786500199e+00
4.137135920e+08	1.475876110e+00
4.197094412e+08	1.299278762e+00
4.257052904e+08	1.267968180e+00
4.317011395e+08	1.409671406e+00
4.376969887e+08	1.793184622e+00
4.436928378e+08	2.531372858e+00
4.496886870e+08	3.642309928e+00
4.556845362e+08	4.713331987e+00
4.616803853e+08	5.143233104e+00
4.676762345e+08	4.925157535e+00
4.736720836e+08	4.397338739e+00
4.796679328e+08	3.796508470e+00
4.856637820e+08	3.247585237e+00
4.916596311e+08	2.826439357e+00
4.976554803e+08	2.588649794e+00
5.036513294e+08	2.598891843e+00
5.096471786e+08	2.979295122e+00
5.156430278e+08	3.924108150e+00
5.216388769e+08	5.346511472e+00
5.276347261e+08	6.288269353e+00
5.336305752e+08	6.296861098e+00
5.396264244e+08	5.948456840e+00
5.456222736e+08	5.525049138e+00
5.516181227e+08	5.040155972e+00
5.576139719e+08	4.542148871e+00
5.636098210e+08	4.152830968e+00
5.696056702e+08	4.006876793e+00
5.756015194e+08	4.267154255e+00
5.815973685e+08	5.258024472e+00
5.875932177e+08	7.430119226e+00
5.935890668e+08	9.539721503e+00
5.995849160e+08	8.976236121e+00
6.055807652e+08	7.523764786e+00
6.115766143e+08	6.482271757e+00
6.175724635e+08	5.693616297e+00
6.235683126e+08	4.923221585e+00
6.295641618e+08	4.225351015e+00
6.355600110e+08	3.812414336e+00
6.415558601e+08	3.847452860e+00
6.475517093e+08	4.562820424e+00
6.535475584e+08	6.766278136e+00
6.595434076e+08	1.165160562e+01
6.655392568e+08	1.368313628e+01
6.715351059e+08	1.147068165e+01
6.775309551e+08	9.775797841e+00
6.835268042e+08	8.575925546e+00
6.895226534e+08	7.115176446e+00
6.955185026e+08	5.232342174e+00
7.015143517e+08	3.674720246e+00
7.075102009e+08	2.931679984e+00
7.135060500e+08	2.951853805e+00
7.195018992e+08	3.957008839e+00
7.254977484e+08	7.800383095e+00
7.314935975e+08	1.400237789e+01
7.374894467e+08	1.234946976e+01
7.434852958e+08	1.104535001e+01
7.494811450e+08	1.101659133e+01
7.554769942e+08	1.108599349e+01
7.614728433e+08	9.553080430e+00
7.674686925e+08	6.278943508e+00
7.734645416e+08	4.012803254e+00
7.794603908e+08	3.253777461e+00
7.854562400e+08	3.470751980e+00
7.914520891e+08	5.402399329e+00
7.974479383e+08	1.262469609e+01
8.034437874e+08	1.057156147e+01
8.094396366e+08	8.389392466e+00
8.154354858e+08	8.563339387e+00
8.214313349e+08	9.868106908e+00
8.274271841e+08	1.143791768e+01
8.334230332e+08	9.652722365e+00
8.394188824e+08	5.639837124e+00
8.454147316e+08	4.080351398e+00
8.514105807e+08	3.992623990e+00
8.574064299e+08	5.053112421e+00
8.634022790e+08	1.188512670e+01
8.693981282e+08	1.212231841e+01
8.753939774e+08	7.831204428e+00
8.813898265e+08	7.168691831e+00
8.873856757e+08	7.593291978e+00
8.933815248e+08	9.077833020e+00
8.993773740e+08	1.048158414e+01
9.053732232e+08	5.857901617e+00
9.113690723e+08	3.260699409e+00
9.173649215e+08	3.016400163e+00
9.233607706e+08	3.594131166e+00
9.293566198e+08	7.223544675e+00
9.353524690e+08	1.389588423e+01
9.413483181e+08	8.327636927e+00
9.473441673e+08	7.858847217e+00
9.533400164e+08	8.188508178e+00
9.593358656e+08	9.071163061e+00
